variant,window,direction,slippage_per_side,sizing,period,return,ending_equity
baseline,early,long_only,3,fixed_one,2017-10,0.0028167440452357972,5017409.933
baseline,early,long_only,3,fixed_one,2017-11,-0.001588729066678951,5009438.628
baseline,early,long_only,3,fixed_one,2017-12,0.00033225120090252247,5011103.02
baseline,early,long_only,3,fixed_one,2018-01,0.0021436715543716733,5021845.179
baseline,early,long_only,3,fixed_one,2018-02,-0.006276839861932393,4990323.861
baseline,early,long_only,3,fixed_one,2018-03,-0.0008603609945144752,4986030.381
baseline,early,long_only,3,fixed_one,2018-04,-0.00124062681679038,4979844.578
baseline,early,long_only,3,fixed_one,2018-05,-0.00046339498429215364,4977536.943
baseline,early,long_only,3,fixed_one,2018-06,-0.0009255877058791384,4972929.796
baseline,early,long_only,3,fixed_one,2018-07,0.004382307391012974,4994722.703
baseline,early,long_only,3,fixed_one,2018-08,0.0016174063066900501,5002801.199
baseline,early,long_only,3,fixed_one,2018-09,-0.0023872951422468924,4990858.036
baseline,early,long_only,3,fixed_one,2018-10,-0.004465266260681222,4968572.526
baseline,early,long_only,3,fixed_one,2018-11,0.0,4968572.526
baseline,early,long_only,3,fixed_one,2018-12,0.0,4968572.526
baseline,early,long_only,3,fixed_one,2019-01,0.0,4968572.526
baseline,early,long_only,3,fixed_one,2019-02,0.0,4968572.526
baseline,early,long_only,3,fixed_one,2019-03,0.0,4968572.526
baseline,early,long_only,3,fixed_one,2019-04,0.0006223666825468932,4971664.8
baseline,early,long_only,3,fixed_one,2019-05,-0.004160686577260764,4950979.261
baseline,early,long_only,3,fixed_one,2019-06,-0.00025966681180156215,4949693.656
baseline,early,long_only,3,fixed_one,2019-07,0.0036928455113263148,4967972.11
baseline,early,long_only,3,fixed_one,2019-08,-0.004474087516566194,4945744.968
baseline,early,long_only,3,fixed_one,2019-09,0.002141774407806496,4956337.638
baseline,early,long_only,3,fixed_one,2019-10,0.004585589130519985,4979065.366
baseline,early,long_only,3,fixed_one,2019-11,0.0021041708091524836,4989542.17
baseline,early,long_only,3,fixed_one,2019-12,0.005787277873632979,5018418.037
